Millis,Front,Left,Right,EncL,EncR
348513,363,3187,2330,53505,55009
348568,365,3186,2331,53505,55009
348624,375,3200,2346,53521,55037
348679,339,3159,2351,53555,55086
348735,389,3169,2374,53621,55178
348790,366,3088,2535,53729,55320
348845,419,2850,2611,53868,55523
348901,514,2792,2712,54067,55770
348956,367,2771,2965,54295,56037
349012,217,2734,3022,54531,56320
349067,223,2723,3038,54777,56599
349123,242,2651,3065,55044,56893
349178,271,2620,3065,55331,57195
349233,291,2599,3125,55631,57497
349289,345,2547,3197,55939,57810
349344,416,2484,3255,56243,58121
349400,460,2484,3258,56548,58449
349455,565,2523,3154,56842,58764
349510,694,1947,3105,57121,59053
349566,862,1009,3041,57393,59336
349621,1049,884,2965,57646,59590
349677,1387,925,2926,57862,59803
349732,1734,1090,2890,58018,59972
349788,2038,994,2810,58086,60083
349843,2218,995,2697,58134,60150
349898,2377,1028,2639,58155,60183
349954,2406,1059,2620,58157,60188
350009,2384,1067,2600,58157,60188
350065,2389,1061,2622,58157,60188
350120,2377,1038,2629,58157,60188
350175,2410,1067,2598,58157,60188
350231,2409,1067,2601,58157,60188
350286,2389,1067,2604,58157,60188
350342,2396,1044,2592,58157,60188
350397,2397,1031,2606,58157,60188
350453,2411,933,2606,58157,60188
350508,2414,917,2604,58157,60188
350563,2416,718,2587,58157,60188
350619,2409,693,2583,58157,60188
350674,2411,717,2602,58157,60188
350730,2385,718,2602,58157,60188
350785,2393,718,2602,58157,60188
350840,2396,709,2630,58157,60188
350896,2411,686,2600,58157,60188
350951,2385,717,2603,58157,60188
351007,2390,692,2588,58157,60188
351062,2385,697,2621,58157,60188
351117,2412,695,2603,58157,60188
351173,2378,720,2626,58157,60188
351228,2391,721,2591,58157,60188
351284,2397,732,2637,58157,60188
351339,2411,712,2599,58157,60188
351395,2390,716,2601,58157,60188
351450,2369,697,2606,58156,60188
351505,2297,745,2532,58136,60201
351561,2176,992,2464,58096,60225
351616,1946,770,2375,58051,60252
351672,1733,644,2232,57993,60294
351727,1316,1345,1847,57925,60376
351782,903,1685,2311,57857,60502
351838,514,2032,2689,57808,60590
351893,318,2252,2644,57797,60639
351949,270,2083,2645,57797,60650
352004,267,2056,2622,57797,60650
352060,248,2072,2637,57797,60650
352115,272,2081,2616,57797,60650
352170,277,2120,2633,57777,60652
352226,269,3901,2581,57744,60663
352281,300,3912,2538,57701,60692
352337,344,3903,2394,57671,60725
352392,364,3900,2348,57654,60746
352447,392,3904,2309,57653,60767
352503,404,3915,2272,57653,60768
352558,391,650,2281,57653,60768
352614,390,609,2270,57653,60768
352669,393,615,2265,57653,60768
352724,422,607,2272,57653,60768
352780,365,616,2258,57653,60768
352835,391,593,2285,57653,60768
352891,390,622,2287,57653,60768
352946,375,626,2254,57653,60768
353001,414,621,2258,57653,60768
353057,389,598,2261,57653,60768
353112,392,605,2292,57653,60768
353168,376,599,2266,57653,60768
353223,413,598,2257,57653,60768
353279,415,594,2285,57653,60768
353334,386,621,2266,57653,60768
353389,425,627,2252,57653,60768
353445,389,620,2283,57653,60768
353500,389,597,2295,57653,60768
353556,391,598,2263,57653,60768
353611,392,590,2251,57653,60768
353666,392,992,2260,57653,60767
353722,411,3900,2305,57653,60755
353777,390,3896,2288,57653,60756
353833,429,3702,2325,57665,60779
353888,383,3783,2373,57771,60855
353943,390,3252,2420,57953,60998
353999,429,3053,2457,58221,61202
354054,416,3071,2431,58571,61466
354110,488,2975,2463,58969,61767
354165,562,2977,2491,59381,62118
354221,658,2911,2534,59771,62487
354276,908,2914,1078,60133,62831
354331,1184,2822,1016,60455,63134
354387,1671,2750,1071,60674,63349
354442,1953,2661,1083,60783,63441
354498,2132,2582,1082,60824,63462
354553,2134,2566,1086,60823,63462
354608,2134,2795,1087,60823,63462
354664,2137,2619,1101,60823,63462
354719,2132,2614,1083,60823,63462
354775,2127,2618,1085,60823,63462
354830,2133,2616,1113,60823,63462
354886,2141,2660,1090,60823,63462
