time_ms,front,left,right,enc_l,enc_r,pwm_l,pwm_r,action
12955,961,1805,1772,-3,0,0,0,0
12975,980,1811,1772,-3,0,0,0,0
13016,980,1829,1772,-3,0,0,0,0
13036,981,1840,1710,0,0,0,0,0
13056,981,1850,1499,0,0,0,0,0
13076,982,1869,1497,0,0,0,0,0
13096,982,1872,1425,0,0,0,0,0
13116,984,1872,1424,0,0,0,0,0
13136,984,1869,1424,0,0,0,0,0
13156,984,1860,1425,0,0,0,0,0
13176,985,1860,1425,0,0,0,0,0
13217,985,1860,1427,0,0,0,0,0
13237,984,1863,1429,0,0,0,0,0
13257,980,1865,1429,0,0,0,0,0
13277,985,1875,1413,0,0,0,0,0
13297,980,1865,1404,0,0,0,0,0
13317,957,1863,1400,0,0,0,0,0
13337,957,1865,1400,0,0,0,0,0
13357,982,1874,1400,0,0,0,0,0
13377,957,1848,1403,0,0,0,0,0
13418,982,1865,1403,0,0,0,0,0
13438,982,1871,1403,0,0,0,0,0
13458,977,1871,1403,0,0,0,0,0
13478,977,1865,1403,0,0,0,0,0
13498,980,1865,1420,0,0,0,0,0
13518,980,1864,1428,0,0,0,0,0
13538,980,1852,1522,0,0,0,0,0
13558,980,1851,1522,0,0,0,0,0
13578,980,1851,1522,0,0,0,0,0
13619,980,1851,1519,0,0,0,0,0
13639,980,1851,1519,0,0,0,0,0
13659,983,1851,1514,0,0,0,0,0
13679,983,1851,1518,0,0,0,0,0
13699,985,1849,1519,0,0,0,0,0
13719,985,1830,1523,0,0,0,0,0
13739,983,1826,1518,0,0,0,0,0
13759,981,1826,1518,-2,0,0,0,0
13779,977,1830,1513,-2,0,0,0,0
13820,977,1848,1449,-11,0,0,0,0
13840,959,1848,1448,-8,0,0,0,0
13860,929,1872,1356,-8,0,0,0,0
13880,907,1934,1356,-9,0,0,0,0
13900,858,1937,1356,-9,0,0,0,0
13920,779,2131,1960,-10,0,0,0,0
13940,691,2133,1967,-9,0,0,0,0
13960,686,2309,2257,-11,0,0,0,0
13980,640,2326,2257,-13,0,0,0,0
14021,580,2402,2490,-26,0,0,0,0
14041,515,2405,2493,-11,0,0,0,0
14061,515,2500,2625,-12,0,0,0,0
14081,515,2532,2761,-13,0,0,0,0
14101,572,2534,2764,-12,0,0,0,0
14121,583,2552,2898,-11,0,0,0,0
14141,583,2552,2899,-11,0,0,0,0
14161,583,2552,2903,-10,0,0,0,0
